ds,target,NBEATS,elm,lstm,MLP,rf,SVR,arima,LRF,LSVR,TLSTM,KNN,TRANSFORMER
2019-07-31,0.3891071158785315,0.5364389419555664,0.3531201950168783,0.34005773,0.2971944110212433,0.479715123130382,0.3723147193325757,0.3917938535405721,0.3680757247915877,0.3732538620279109,0.37471217,0.6332126028242966,0.29668137
2019-08-31,0.3783502039583019,0.4042029082775116,0.313882260996668,0.33699226,0.3185470732470795,0.479715123130382,0.36679208770283,0.3786275314096951,0.3724111898777766,0.3716581701491042,0.39583138,0.6331528522181908,0.32257932
2019-09-30,0.3308505816588609,0.4096866250038146,0.3303883360361261,0.33452666,0.3325332001686193,0.479715123130382,0.3448229683010667,0.3590875407377822,0.3634655562569437,0.3403930527129959,0.39158484,0.6331009352636274,0.315517
2019-10-31,0.3127693004985648,0.389425665140152,0.3078476860895837,0.33603323,0.3404054050055853,0.479715123130382,0.3342056450199439,0.3240681401096317,0.3454410313401692,0.3285629628841318,0.3578566,0.6255302035627632,0.29362598
2019-11-30,0.2706360477413506,0.4007487297058105,0.2726478194332485,0.3367578,0.3211077744297743,0.479715123130382,0.2937175571730502,0.2799767799692263,0.2944749362711188,0.277332799136508,0.34138855,0.6253261955774688,0.27273715
2019-12-31,0.2909170569572443,0.3703982532024384,0.2643591118544682,0.3399359,0.3373974044769209,0.479715123130382,0.2887833228547939,0.2582623453254916,0.2974696511598963,0.2758121350672806,0.31045187,0.5818698024798483,0.2478788
2020-01-31,0.2693548874452335,0.3778510987758637,0.2264552322147114,0.33877593,0.3065868030307905,0.479715123130382,0.2678124555208855,0.2717044757151586,0.2893697335521979,0.2545931085290989,0.32051465,0.5971426512113083,0.24799056
2020-02-29,0.2275842272246563,0.3762195706367492,0.2315836524354704,0.3398277,0.298953690294605,0.479715123130382,0.2697474944182544,0.2970522432818249,0.2653334222452874,0.2527044205714621,0.30678046,0.5970948278670506,0.23324554
2020-03-31,0.1926061338570781,0.4069198369979858,0.2349395681187046,0.34225017,0.2885919013495422,0.479715123130382,0.2899780572259154,0.2872464053936692,0.3109416540791784,0.2758948815341999,0.27444723,0.6331817724004708,0.2124496
2020-04-30,0.1,0.618374228477478,0.2806426867470178,0.3414734,0.2614956724294918,0.479715123130382,0.2930371637021316,0.2393956117110482,0.3079326979024589,0.2714611791328729,0.24425206,0.6332269488410859,0.18812695
2020-05-31,0.2132739084453845,0.8429972529411317,0.2857343603068343,0.34071892,0.232603667093256,0.479715123130382,0.307224612964978,0.1791045303752435,0.35329984929787,0.28394157928992,0.17276922,0.633306597752664,0.13054866
2020-06-30,0.2147242785919323,1.3517735004425049,0.2654360791429427,0.3327504,0.1685578336622498,0.479715123130382,0.3061416088605609,0.1839706199975023,0.3547864950749161,0.2856168781002624,0.24121602,0.6332616504700563,0.18290547
2020-07-31,0.2624414564133555,1.2193367481231687,0.3038751518545531,0.32680988,0.1704599246511566,0.479715123130382,0.3269304103803109,0.2748569203360767,0.3590935012390174,0.3146992423060557,0.2497448,0.6332848647791681,0.18377258
2020-08-31,0.2690648134159239,0.5793949961662292,0.2522912653173614,0.31882995,0.1794775194261095,0.479715123130382,0.3302013501496157,0.3339375084583265,0.360849555049738,0.3222898607132642,0.28048232,0.6332557630315794,0.21576928
2020-09-30,0.2213718084302765,0.6384985446929932,0.3042078095188572,0.31254935,0.1829827013033756,0.479715123130382,0.3197771499436399,0.3155535665046067,0.3408750928668161,0.3020049446503745,0.28802237,0.6332585239555059,0.22727658
2020-10-31,0.2334823991539507,0.519567608833313,0.2262051113584401,0.30971766,0.2144958736299533,0.479715123130382,0.313686030482776,0.262625006476882,0.3216460135452019,0.2943642325952358,0.2539649,0.6332742024428895,0.2207518
2020-11-30,0.1900921589363952,0.6738646626472473,0.2572996935554381,0.30683854,0.1792049430468742,0.479715123130382,0.2882305757431344,0.211602264464763,0.3158392955112593,0.2554824349379641,0.25780177,0.6331961159179342,0.21192513
2020-12-31,0.1866837890920078,0.6627588272094728,0.2524555482935033,0.30677897,0.1805424830412,0.479715123130382,0.2888227539360747,0.1903780692959021,0.3142374664333522,0.2552372444519339,0.22803849,0.6332086702207254,0.18644232
2021-01-31,0.1785617162713401,0.6088124513626099,0.1774599751773204,0.30514836,0.1581903201511816,0.479715123130382,0.2578769577009184,0.187142194115551,0.3139316155998929,0.2194869585032539,0.22061975,0.633144093555583,0.1724605
2021-02-28,0.1039885179030065,0.6798110604286194,0.1742135240328791,0.3039225,0.1607269464969412,0.479715123130382,0.2398578106872581,0.1874723834984565,0.2836802575631885,0.1928590196774959,0.21366255,0.6331812592941016,0.16039725
2021-03-31,0.1769663091101375,0.6126307249069214,0.0874159414760709,0.30467024,0.153654680803518,0.479715123130382,0.2312751051767231,0.1687077450907609,0.2845541055764836,0.1817106142269531,0.15869741,0.6332241468796178,0.11567715
2021-04-30,0.1641305333131893,0.8259420394897461,0.0972466003723278,0.3026939,0.1066628433683012,0.479715123130382,0.2137780353301912,0.1574363670610558,0.2845541055764836,0.1510765114039451,0.20250371,0.6332072727346743,0.14901763
2021-05-31,0.2180359570932165,1.040379762649536,0.1753618378976797,0.30477342,0.119613817182789,0.479715123130382,0.2600560130224044,0.1982286356817187,0.2845023757079233,0.2188565157005073,0.20019893,0.6332635232484642,0.14851543
2021-06-30,0.2427164224203052,0.8002108931541443,0.1644488698900415,0.30208957,0.1158868361148919,0.479715123130382,0.2694663682073357,0.2429211200810363,0.2849537631279767,0.2320828731068034,0.23595959,0.6332308517054097,0.18053794
2021-07-31,0.2529898776250189,1.3350225687026975,0.239826972103593,0.30034947,0.1287012196198049,0.479715123130382,0.2899401093814868,0.2592005110536162,0.3078247901354847,0.2567981784108384,0.2583191,0.633243993643083,0.19997332
2021-08-31,0.2358755098957546,1.038327932357788,0.1748154758791923,0.29806396,0.1648080811869461,0.479715123130382,0.2950263033605608,0.2614935107790872,0.3146482193164664,0.2685220727128308,0.26773193,0.6332409013432103,0.2244394
